date,hour,minute,goal_completion_count,user_id,step,page
2020-01-21,15,27,1,38,0,company.com/
2020-01-21,15,50,1,38,1,company.com/events/info-taster-session-events/
2020-01-21,15,35,1,38,0,company.com/
2019-10-07,09,59,1,40,0,company.com/blog/melindas-memo-october-2019/
2019-10-07,09,22,1,40,1,company.com/blog/category/inspiring-stories/
2019-10-07,09,14,1,40,1,company.com/blog/our-guide-to-funding-our-full-time-courses/
2019-10-07,09,22,1,40,0,company.com/blog/
2019-10-21,10,01,1,42,1,company.com/courses/edinburgh/
2019-10-21,10,44,1,42,1,company.com/events/edinburgh/
2019-10-21,10,25,1,42,1,company.com/
2020-01-30,10,18,1,43,2,company.com/courses/professional-software-development/
2020-01-30,10,59,1,43,0,company.com/events/info-taster-session-events/
2019-10-14,15,19,1,45,1,company.com/courses/professional-software-development/
2019-10-14,15,14,1,45,0,company.com/events/info-taster-session-events/
2019-10-14,15,06,1,45,1,company.com/
2019-10-14,15,20,1,45,3,company.com/courses/professional-software-development/
2019-09-09,09,05,1,48,2,company.com/courses/professional-software-development/thank-you-syllabus-download/
2019-09-09,09,39,1,48,1,company.com/events/edinburgh/
2019-09-09,09,12,1,48,3,company.com/courses/professional-software-development/
2019-09-09,09,06,1,48,0,company.com/courses/professional-software-development/career-support/
2019-09-24,09,28,1,50,0,company.com/digital-careers/
2019-09-24,09,39,1,50,0,company.com/courses/professional-software-development/
2019-09-24,09,44,1,50,0,company.com/events/info-taster-session-events/
2019-09-24,09,15,1,50,0,company.com/courses/professional-software-development/career-support/
2020-01-06,12,25,1,51,1,company.com/events/alumni-events/
2020-01-06,12,38,1,51,2,company.com/events/info-taster-session-events/
2020-01-06,12,04,1,51,0,company.com/
2019-09-01,06,31,1,54,1,company.com/events/edinburgh/
2019-09-02,15,07,1,56,1,company.com/events/edinburgh/
2019-09-24,06,13,1,58,0,company.com/events/edinburgh/
2019-11-07,17,13,1,60,0,company.com/events/edinburgh/
2020-02-06,22,01,1,62,0,company.com/events/edinburgh/
2020-02-26,22,30,1,64,3,company.com/events/edinburgh/
2020-02-12,02,39,1,66,2,company.com/events/edinburgh/
2020-02-12,02,50,1,66,1,company.com/
2020-02-29,11,49,1,68,1,company.com/events/edinburgh/
2020-02-29,11,12,1,68,2,company.com/
2020-02-29,11,52,1,68,2,company.com/
2020-02-04,16,24,1,70,1,company.com/events/edinburgh/
2020-02-04,16,19,1,70,1,company.com/blog/meet-the-graduates-who-quit-their-jobs-to-learn-how-to-code/
2019-09-02,15,47,1,72,3,company.com/events/edinburgh/
2019-09-02,15,12,1,72,0,company.com/courses/
2019-10-11,16,24,1,74,1,company.com/events/edinburgh/
2019-10-11,16,47,1,74,2,company.com/courses/full-stack-web-development/
2019-10-11,16,02,1,74,1,company.com/
2020-01-17,21,56,1,76,0,company.com/events/edinburgh/
2020-01-17,21,15,1,76,0,company.com/courses/professional-software-development/
2020-01-17,21,54,1,76,2,company.com/courses/edinburgh/
2020-01-17,21,43,1,76,0,company.com/courses/professional-software-development/cost-and-funding/
2020-01-31,04,28,1,78,1,company.com/events/edinburgh/
2020-01-31,04,56,1,78,0,company.com/courses/professional-software-development/application-and-dates/
2020-01-31,04,34,1,78,2,company.com/courses/professional-software-development/curriculum/
2020-01-31,04,14,1,78,0,company.com/
2020-02-25,00,37,1,80,1,company.com/events/edinburgh/
2020-02-25,00,19,1,80,0,company.com/courses/professional-software-development/application-and-dates/
2020-02-25,00,47,1,80,3,company.com/courses/python-for-developers/
2020-02-25,00,55,1,80,1,company.com/courses/full-stack-web-development/
2020-02-28,13,03,1,82,0,company.com/events/edinburgh/
2020-02-28,13,37,1,82,0,company.com/courses/professional-software-development/apply/
2020-02-28,13,39,1,82,1,company.com/courses/professional-software-development/
2019-10-07,16,35,1,84,1,company.com/events/edinburgh/
2019-10-07,16,25,1,84,0,company.com/courses/professional-software-development/apply/
2019-10-07,16,01,1,84,1,company.com/courses/professional-software-development/curriculum/
2019-10-07,16,39,1,84,0,company.com/courses/professional-software-development/
2019-10-07,13,28,1,86,2,company.com/events/edinburgh/
2019-10-07,13,13,1,86,3,company.com/courses/ux-design-fundamentals/
2019-10-07,13,19,1,86,2,company.com/courses/edinburgh/
2019-10-07,13,33,1,86,0,company.com/courses/full-stack-web-development/cost-and-funding/
2019-09-06,12,35,1,88,0,company.com/events/edinburgh/
2019-09-06,12,23,1,88,1,company.com/data-analysis-announcement/
2019-09-06,12,41,1,88,2,company.com/edinburgh/
2019-10-21,14,56,1,90,1,company.com/events/edinburgh/
2019-10-21,14,03,1,90,1,company.com/data-analysis-announcement/apply-for-data-analysis/
2019-10-21,14,11,1,90,0,company.com/data-analysis-announcement/
2019-10-21,14,34,1,90,1,company.com/
2019-09-06,09,32,1,92,0,company.com/events/edinburgh/
2019-09-06,09,31,1,92,0,company.com/edinburgh/
2019-10-21,08,54,1,94,2,company.com/events/edinburgh/
2019-10-21,08,42,1,94,0,company.com/edinburgh/
2019-09-30,17,32,1,96,3,company.com/events/edinburgh/
2019-09-30,17,11,1,96,1,company.com/edinburgh/
2019-09-30,17,14,1,96,0,company.com/
2019-09-18,10,57,1,98,0,company.com/events/edinburgh/
2019-09-18,10,38,1,98,0,company.com/edinburgh/
2019-09-18,10,51,1,98,2,company.com/
2019-09-18,10,14,1,98,0,company.com/courses/professional-software-development/
2019-11-04,22,25,1,100,0,company.com/events/edinburgh/
2019-11-04,22,07,1,100,2,company.com/edinburgh/
2019-11-04,22,57,1,100,1,company.com/
2019-11-04,22,56,1,100,1,company.com/courses/professional-software-development/cost-and-funding/
2019-10-01,15,22,1,102,1,company.com/events/edinburgh/
2019-10-01,15,06,1,102,0,company.com/edinburgh/
2019-10-01,15,17,1,102,1,company.com/
2019-10-01,15,08,1,102,1,company.com/data-analysis-announcement/
2019-09-18,00,21,1,104,0,company.com/events/edinburgh/
2019-09-18,00,46,1,104,1,company.com/Edinburgh/
2019-10-23,11,38,1,106,0,company.com/events/edinburgh/
2019-10-23,11,09,1,106,1,company.com/Edinburgh/
2019-11-05,21,05,1,108,1,company.com/events/edinburgh/
2019-11-05,21,51,1,108,2,company.com/Edinburgh/
2020-02-21,14,46,1,110,2,company.com/events/edinburgh/
2020-02-21,14,02,1,110,2,company.com/enquire/
2020-02-21,14,04,1,110,0,company.com/courses/professional-software-development/apply/
2020-02-21,14,02,1,110,0,company.com/courses/data-analysis/apply/
2019-09-06,11,58,1,112,0,company.com/events/edinburgh/
2019-09-06,11,18,1,112,0,company.com/events/
2019-09-08,14,37,1,114,2,company.com/events/edinburgh/
2019-09-08,14,36,1,114,0,company.com/events/
2019-09-09,15,03,1,116,0,company.com/events/edinburgh/
2019-09-09,15,26,1,116,1,company.com/events/
2019-09-10,08,41,1,118,1,company.com/events/edinburgh/
2019-09-10,08,54,1,118,0,company.com/events/
2019-09-10,15,10,1,120,0,company.com/events/edinburgh/
2019-09-10,15,15,1,120,1,company.com/events/
2019-09-17,10,13,1,122,1,company.com/events/edinburgh/
2019-09-17,10,59,1,122,0,company.com/events/
2019-10-01,10,45,1,124,0,company.com/events/edinburgh/
2019-10-01,10,58,1,124,1,company.com/events/
2019-10-06,16,58,1,126,1,company.com/events/edinburgh/
2019-10-06,16,14,1,126,2,company.com/events/
2019-10-08,17,41,1,128,0,company.com/events/edinburgh/
2019-10-08,17,43,1,128,1,company.com/events/
2019-10-15,13,38,1,130,1,company.com/events/edinburgh/
2019-10-15,13,36,1,130,0,company.com/events/
2019-11-06,13,28,1,132,2,company.com/events/edinburgh/
2019-11-06,13,08,1,132,3,company.com/events/
2020-01-20,12,38,1,134,0,company.com/events/edinburgh/
2020-01-20,12,22,1,134,2,company.com/events/
2020-02-05,12,28,1,136,1,company.com/events/edinburgh/
2020-02-05,12,19,1,136,1,company.com/events/
2019-09-02,14,30,1,138,1,company.com/events/edinburgh/
2019-09-02,14,28,1,138,1,company.com/events/
2019-09-02,14,25,1,138,0,company.com/
2019-09-10,18,57,1,140,2,company.com/events/edinburgh/
2019-09-10,18,06,1,140,0,company.com/events/
2019-09-10,18,15,1,140,0,company.com/
2019-09-18,13,47,1,142,2,company.com/events/edinburgh/
2019-09-18,13,47,1,142,2,company.com/events/
2019-09-18,13,40,1,142,0,company.com/
2019-09-21,13,23,1,144,0,company.com/events/edinburgh/
2019-09-21,13,31,1,144,0,company.com/events/
2019-09-21,13,12,1,144,1,company.com/
2019-09-27,17,49,1,146,2,company.com/events/edinburgh/
2019-09-27,17,53,1,146,2,company.com/events/
2019-09-27,17,18,1,146,1,company.com/
2019-09-28,21,31,1,148,1,company.com/events/edinburgh/
2019-09-28,21,46,1,148,0,company.com/events/
2019-09-28,21,56,1,148,2,company.com/
2019-09-29,11,00,1,150,0,company.com/events/edinburgh/
2019-09-29,11,41,1,150,0,company.com/events/
2019-09-29,11,38,1,150,2,company.com/
2019-10-04,15,27,1,152,2,company.com/events/edinburgh/
2019-10-04,15,25,1,152,1,company.com/events/
2019-10-04,15,31,1,152,3,company.com/
2019-10-04,16,05,1,154,3,company.com/events/edinburgh/
2019-10-04,16,13,1,154,0,company.com/events/
2019-10-04,16,27,1,154,2,company.com/
2019-10-10,13,03,1,156,2,company.com/events/edinburgh/
2019-10-10,13,22,1,156,2,company.com/events/
2019-10-10,13,09,1,156,2,company.com/
2019-10-11,11,43,1,158,0,company.com/events/edinburgh/
2019-10-11,11,57,1,158,3,company.com/events/
2019-10-11,11,30,1,158,3,company.com/
2019-10-12,20,47,1,160,3,company.com/events/edinburgh/
2019-10-12,20,14,1,160,2,company.com/events/
2019-10-12,20,20,1,160,0,company.com/
2019-10-19,07,14,1,162,2,company.com/events/edinburgh/
2019-10-19,07,51,1,162,1,company.com/events/
2019-10-19,07,22,1,162,0,company.com/
2019-10-22,21,08,1,164,2,company.com/events/edinburgh/
2019-10-22,21,16,1,164,0,company.com/events/
2019-10-22,21,09,1,164,0,company.com/
2019-10-30,18,34,1,166,1,company.com/events/edinburgh/
2019-10-30,18,12,1,166,1,company.com/events/
2019-10-30,18,44,1,166,1,company.com/
2019-11-01,10,34,1,168,0,company.com/events/edinburgh/
2019-11-01,10,25,1,168,0,company.com/events/
2019-11-01,10,32,1,168,2,company.com/
2019-11-05,07,56,1,170,1,company.com/events/edinburgh/
2019-11-05,07,34,1,170,2,company.com/events/
2019-11-05,07,23,1,170,2,company.com/
2019-11-05,19,20,1,172,0,company.com/events/edinburgh/
2019-11-05,19,37,1,172,1,company.com/events/
2019-11-05,19,27,1,172,0,company.com/
2019-11-05,22,41,1,174,1,company.com/events/edinburgh/
2019-11-05,22,00,1,174,2,company.com/events/
2019-11-05,22,58,1,174,2,company.com/
2019-11-06,14,04,1,176,1,company.com/events/edinburgh/
2019-11-06,14,33,1,176,0,company.com/events/
2019-11-06,14,19,1,176,1,company.com/
2019-11-06,14,02,1,178,1,company.com/events/edinburgh/
2019-11-06,14,41,1,178,1,company.com/events/
2019-11-06,14,13,1,178,1,company.com/
2019-11-07,09,32,1,180,1,company.com/events/edinburgh/
2019-11-07,09,30,1,180,3,company.com/events/
2019-11-07,09,18,1,180,0,company.com/
2019-11-11,14,31,1,182,1,company.com/events/edinburgh/
2019-11-11,14,22,1,182,1,company.com/events/
2019-11-11,14,37,1,182,0,company.com/
2019-09-29,11,31,1,184,2,company.com/events/edinburgh/
2019-09-29,11,51,1,184,0,company.com/events/
2019-09-29,11,00,1,184,2,company.com/
2019-09-29,11,23,1,184,0,company.com/courses/
2019-10-08,13,36,1,186,1,company.com/events/edinburgh/
2019-10-08,13,52,1,186,1,company.com/events/
2019-10-08,13,26,1,186,1,company.com/
2019-10-08,13,03,1,186,0,company.com/courses/full-stack-web-development/
2019-09-12,10,20,1,188,0,company.com/events/edinburgh/
2019-09-12,10,28,1,188,0,company.com/events/
2019-09-12,10,36,1,188,3,company.com/
2019-09-12,10,21,1,188,1,company.com/data-analysis-announcement/apply-for-data-analysis/
2019-09-16,12,19,1,190,1,company.com/events/edinburgh/
2019-09-16,12,57,1,190,1,company.com/events/
2019-09-16,12,29,1,190,0,company.com/
2019-09-16,12,51,1,190,0,company.com/data-analysis-announcement/data-course-application-process/
2019-10-29,12,02,1,192,1,company.com/events/edinburgh/
2019-10-29,12,18,1,192,1,company.com/events/
2019-10-29,12,06,1,192,0,company.com/courses/full-stack-web-development/
2019-10-29,12,09,1,192,3,company.com/courses/professional-software-development/
2019-09-09,09,03,1,194,0,company.com/events/edinburgh/
2019-09-09,09,43,1,194,0,company.com/events/
2019-09-09,09,40,1,194,1,company.com/courses/professional-software-development/
2019-09-09,09,25,1,194,1,company.com/courses/browse-all-course-dates/
2019-09-17,09,39,1,196,1,company.com/events/edinburgh/
2019-09-17,09,09,1,196,1,company.com/events/
2019-09-17,09,18,1,196,1,company.com/courses/professional-software-development/apply/
2019-09-17,09,23,1,196,2,company.com/the-codeclan-experience/a-typical-day/
2019-09-21,17,06,1,198,1,company.com/events/edinburgh/
2019-09-21,17,54,1,198,1,company.com/events/
2019-09-21,17,58,1,198,1,company.com/courses/professional-software-development/cost-and-funding/
2019-09-21,17,22,1,198,0,company.com/courses/
2019-10-24,13,15,1,200,1,company.com/events/edinburgh/
2019-10-24,13,00,1,200,0,company.com/events/
2019-10-24,13,09,1,200,1,company.com/courses/understanding-programming/
2019-10-24,13,21,1,200,1,company.com/courses/
2019-10-16,16,25,1,202,2,company.com/events/edinburgh/
2019-10-16,16,51,1,202,0,company.com/events/
2019-10-16,16,10,1,202,1,company.com/events/glasgow/
2019-10-16,16,19,1,202,0,company.com/events/
2019-10-09,12,31,1,204,0,company.com/events/edinburgh/
2019-10-09,12,36,1,204,0,company.com/events/
2019-10-09,12,33,1,204,0,company.com/for-employers/upskill-your-staff/
2019-10-09,12,31,1,204,2,company.com/about-us/
2020-02-24,11,42,1,206,0,company.com/events/edinburgh/
2020-02-24,11,48,1,206,0,company.com/events/
2020-02-24,11,31,1,206,0,company.com/the-codeclan-experience/a-typical-day/
2020-02-24,11,38,1,206,1,company.com/the-codeclan-experience/
2019-10-30,23,38,1,208,1,company.com/events/edinburgh/
2019-10-30,23,16,1,208,1,company.com/events/edinburgh/
2019-10-30,23,51,1,208,0,company.com/edinburgh/
2019-10-30,23,21,1,208,0,company.com/glasgow/
2019-11-07,16,08,1,210,3,company.com/events/edinburgh/
2019-11-07,16,57,1,210,1,company.com/events/edinburgh/
2019-11-07,16,27,1,210,3,company.com/events/edinburgh/
2019-11-07,16,52,1,210,1,company.com/events/
2020-02-29,13,02,1,212,2,company.com/events/edinburgh/
2020-02-29,13,52,1,212,1,company.com/for-employers/sponsorships/
2020-02-29,13,57,1,212,3,company.com/for-employers/upskill-your-staff/
2020-02-29,13,06,1,212,0,company.com/about-us/our-team/our-board/
2020-02-25,13,15,1,214,1,company.com/events/edinburgh/
2020-02-25,13,30,1,214,0,company.com/updates/newsletter-thank-you/
2020-02-25,13,35,1,214,3,company.com/
2020-02-25,13,27,1,214,0,company.com/courses/
2019-09-03,11,10,1,215,0,company.com/events/glasgow/
2019-11-02,12,06,1,217,3,company.com/events/glasgow/
2019-11-20,11,09,1,219,0,company.com/events/glasgow/
2019-09-17,08,30,1,221,0,company.com/events/glasgow/
2019-09-17,08,04,1,221,3,company.com/
2019-11-21,12,39,1,223,3,company.com/events/glasgow/
2019-11-21,12,49,1,223,0,company.com/
2019-10-31,13,16,1,225,0,company.com/events/glasgow/
2019-10-31,13,08,1,225,0,company.com/courses/
2019-10-31,13,16,1,225,0,company.com/courses/professional-software-development/
2019-10-31,13,14,1,225,1,company.com/courses/professional-software-development/apply/
2019-11-11,16,42,1,227,1,company.com/events/glasgow/
2019-11-11,16,56,1,227,1,company.com/courses/
2019-11-11,16,31,1,227,2,company.com/courses/r-programming/
2019-11-11,16,25,1,227,1,company.com/
2019-12-02,11,30,1,229,1,company.com/events/glasgow/
2019-12-02,11,08,1,229,2,company.com/courses/browse-all-course-dates/
2019-12-02,11,20,1,229,1,company.com/courses/
2019-12-02,11,37,1,229,2,company.com/
2019-09-23,18,35,1,231,0,company.com/events/glasgow/
2019-09-23,18,08,1,231,0,company.com/courses/glasgow/
2019-09-23,18,53,1,231,1,company.com/
2019-11-08,15,43,1,233,2,company.com/events/glasgow/
2019-11-08,15,46,1,233,0,company.com/courses/glasgow/
2019-11-08,15,35,1,233,0,company.com/courses/professional-software-development/curriculum/
2019-11-08,15,12,1,233,3,company.com/courses/professional-software-development/
2019-09-02,11,10,1,235,2,company.com/events/glasgow/
2019-09-02,11,28,1,235,3,company.com/courses/professional-software-development/apply/
2019-09-02,11,00,1,235,1,company.com/courses/professional-software-development/curriculum/
2019-09-02,11,55,1,235,0,company.com/courses/professional-software-development/
2019-09-20,10,20,1,237,1,company.com/events/glasgow/
2019-09-20,10,36,1,237,3,company.com/courses/ux-design-fundamentals/
2019-11-28,21,58,1,239,0,company.com/events/glasgow/
2019-11-28,21,49,1,239,1,company.com/data-analysis-announcement/cost-and-funding/
2019-11-28,21,30,1,239,1,company.com/events/glasgow/
2019-11-28,21,34,1,239,1,company.com/glasgow/
2019-09-17,10,57,1,241,0,company.com/events/glasgow/
2019-09-17,10,26,1,241,1,company.com/events/
2019-10-02,13,25,1,243,0,company.com/events/glasgow/
2019-10-02,13,09,1,243,1,company.com/events/
2019-09-02,11,08,1,245,2,company.com/events/glasgow/
2019-09-02,11,00,1,245,3,company.com/events/
2019-09-02,11,41,1,245,2,company.com/
2019-09-03,14,32,1,247,3,company.com/events/glasgow/
2019-09-03,14,58,1,247,0,company.com/events/
2019-09-03,14,29,1,247,1,company.com/
2019-09-26,19,45,1,249,0,company.com/events/glasgow/
2019-09-26,19,43,1,249,0,company.com/events/
2019-09-26,19,59,1,249,1,company.com/
2019-11-13,12,59,1,251,1,company.com/events/glasgow/
2019-11-13,12,13,1,251,1,company.com/events/
2019-11-13,12,30,1,251,2,company.com/
2019-11-19,13,02,1,253,3,company.com/events/glasgow/
2019-11-19,13,42,1,253,0,company.com/events/
2019-11-19,13,20,1,253,0,company.com/
2019-11-28,10,49,1,255,3,company.com/events/glasgow/
2019-11-28,10,17,1,255,3,company.com/events/
2019-11-28,10,38,1,255,0,company.com/
2019-12-02,10,58,1,257,0,company.com/events/glasgow/
2019-12-02,10,47,1,257,2,company.com/events/
2019-12-02,10,19,1,257,0,company.com/
2019-12-05,09,57,1,259,1,company.com/events/glasgow/
2019-12-05,09,30,1,259,2,company.com/events/
2019-12-05,09,49,1,259,1,company.com/
2019-12-02,07,16,1,261,2,company.com/events/glasgow/
2019-12-02,07,08,1,261,0,company.com/events/
2019-12-02,07,02,1,261,1,company.com/
2019-12-02,07,19,1,261,0,company.com/courses/full-stack-web-development/
2019-11-12,09,06,1,263,0,company.com/events/glasgow/
2019-11-12,09,30,1,263,0,company.com/events/
2019-11-12,09,06,1,263,0,company.com/
2019-11-12,09,01,1,263,1,company.com/courses/professional-software-development/thank-you-syllabus-download/
2019-09-02,12,13,1,265,1,company.com/events/glasgow/
2019-09-02,12,29,1,265,3,company.com/events/
2019-09-02,12,54,1,265,1,company.com/courses/
2019-10-06,15,10,1,267,2,company.com/events/glasgow/
2019-10-06,15,46,1,267,0,company.com/events/
2019-10-06,15,36,1,267,1,company.com/courses/ux-design-fundamentals/
2019-11-06,17,27,1,269,0,company.com/events/glasgow/
2019-11-06,17,51,1,269,2,company.com/events/
