date,goal_completion_count,user_id,step,page,event
2019-10-21,1,1017,0,company.com/events/info-taster-session-events/,10
2019-12-25,1,1056,2,company.com/courses/professional-software-development/apply/,10
2019-11-27,1,892,3,company.com/,10
2019-11-26,1,1519,0,company.com/events/info-taster-session-events/,NA
2020-02-25,1,1628,0,company.com/events/info-taster-session-events/,NA
2020-01-30,1,1200,2,company.com/courses/professional-software-development/apply/,NA
2019-09-22,1,427,0,company.com/events/info-taster-session-events/,NA
2019-09-01,1,271,2,company.com/courses/,NA
2020-02-27,1,676,0,company.com/events/info-taster-session-events/,NA
2020-02-03,1,1079,0,company.com/events/info-taster-session-events/,NA
2019-10-24,1,365,0,company.com/events/glasgow/,NA
2019-09-27,1,1134,1,company.com/courses/professional-software-development/,NA
2019-11-01,1,1195,3,company.com/courses/professional-software-development/,NA
2020-02-09,1,996,3,company.com/events/inverness-events/,NA
2019-11-11,1,469,0,company.com/events/info-taster-session-events/,NA
2019-11-05,1,170,2,company.com/,NA
2019-09-09,1,1264,0,company.com/events/info-taster-session-events/,NA
2019-09-13,1,331,2,company.com/,NA
2019-11-26,1,914,0,company.com/events/info-taster-session-events/,NA
2019-09-13,1,1504,0,company.com/events/info-taster-session-events/,NA
2019-09-02,1,1288,3,company.com/courses/understanding-programming/,NA
2020-01-13,1,1449,1,company.com/data-analysis-announcement/,NA
2019-09-08,1,1526,1,company.com/events/,NA
2020-01-07,1,932,0,company.com/events/info-taster-session-events/,NA
2019-11-17,1,1154,0,company.com/events/info-taster-session-events/,NA
2020-02-05,1,842,0,company.com/events/info-taster-session-events/,NA
2019-11-04,1,1463,0,company.com/events/info-taster-session-events/,NA
2020-01-31,1,1190,0,company.com/events/info-taster-session-events/,NA
2019-10-04,1,1012,1,company.com/courses/professional-software-development/,NA
2019-11-20,1,476,0,company.com/events/info-taster-session-events/,NA
2019-12-23,1,1417,0,company.com/events/info-taster-session-events/,10
2020-01-14,1,1596,2,company.com/for-employers/upskill-your-staff/,NA
2020-01-07,1,745,1,company.com/,NA
2019-09-11,1,1158,0,company.com/events/info-taster-session-events/,10
2019-09-22,1,941,0,company.com/events/info-taster-session-events/,10
2019-12-02,1,720,0,company.com/events/info-taster-session-events/,NA
2020-02-05,1,1590,0,company.com/events/info-taster-session-events/,NA
2019-09-16,1,1272,2,company.com/courses/professional-software-development/,NA
2019-09-01,1,1564,0,company.com/events/info-taster-session-events/,10
2020-01-05,1,1644,0,company.com/events/info-taster-session-events/,10
2019-11-06,1,1297,0,company.com/events/info-taster-session-events/,NA
2020-01-06,1,1166,2,company.com/courses/edinburgh/,NA
2019-11-30,1,944,0,company.com/events/info-taster-session-events/,NA
2019-12-09,1,1099,0,company.com/events/info-taster-session-events/,NA
2019-12-09,1,1099,1,company.com/courses/professional-software-development/,NA
2019-09-04,1,353,3,company.com/courses/professional-software-development/,10
2020-01-21,1,928,1,company.com/,10
2019-09-27,1,1135,1,company.com/courses/professional-software-development/,10
2020-01-31,1,1189,0,company.com/events/info-taster-session-events/,10
2020-01-14,1,1028,1,company.com/courses/professional-software-development/,NA
2020-01-07,1,565,0,company.com/events/info-taster-session-events/,NA
2019-09-10,1,118,0,company.com/events/edinburgh/,NA
2019-09-12,1,275,1,company.com/events/inverness-events/,NA
2019-09-09,1,1126,0,company.com/events/info-taster-session-events/,NA
2019-11-07,1,210,1,company.com/courses/professional-software-development/apply/,NA
2019-12-10,1,1092,1,company.com/courses/professional-software-development/,NA
2019-09-05,1,686,1,company.com/,NA
2019-10-11,1,160,1,company.com/events/,NA
2020-01-11,1,760,0,company.com/events/info-taster-session-events/,NA
2019-09-24,1,293,1,company.com/glasgow/,NA
2019-11-22,1,1441,1,company.com/data-analysis-announcement/,NA
2019-11-07,1,210,0,company.com/events/edinburgh/,NA
2020-01-11,1,760,1,company.com/,NA
2019-10-15,1,449,0,company.com/events/info-taster-session-events/,NA
2019-09-28,1,148,1,company.com/events/,NA
2019-09-08,1,1553,2,company.com/funding/,NA
2019-10-22,1,106,0,company.com/events/edinburgh/,NA
2020-01-04,1,739,0,company.com/events/info-taster-session-events/,NA
2020-01-06,1,1166,0,company.com/events/info-taster-session-events/,NA
2019-12-28,1,1265,0,company.com/events/info-taster-session-events/,NA
2020-01-31,1,1415,2,company.com/data-analysis-announcement/data-course-application-process/,NA
2019-10-01,1,349,0,company.com/events/glasgow/,NA
2020-02-03,1,1156,0,company.com/events/info-taster-session-events/,NA
2019-09-17,1,422,0,company.com/events/info-taster-session-events/,NA
2020-01-14,1,876,1,company.com/,NA
2019-10-11,1,74,0,company.com/events/edinburgh/,NA
2019-11-20,1,1108,1,company.com/courses/professional-software-development/,NA
2020-02-07,1,845,0,company.com/events/info-taster-session-events/,NA
2020-01-07,1,573,0,company.com/events/info-taster-session-events/,NA
2020-01-29,1,1585,0,company.com/events/info-taster-session-events/,NA
2019-11-07,1,1369,0,company.com/events/info-taster-session-events/,NA
2020-01-30,1,904,2,company.com/courses/professional-software-development/cost-and-funding/,NA
2019-11-01,1,965,0,company.com/events/info-taster-session-events/,NA
2020-01-08,1,1112,0,company.com/events/info-taster-session-events/,NA
2019-09-01,1,973,1,company.com/courses/browse-all-course-dates/,NA
2019-09-02,1,997,3,company.com/courses/professional-software-development/,NA
2020-01-30,1,1362,0,company.com/events/info-taster-session-events/,NA
2019-11-22,1,486,0,company.com/events/info-taster-session-events/,NA
2019-09-04,1,1220,2,company.com/courses/professional-software-development/cost-and-funding/,NA
2020-01-20,1,962,3,company.com/courses/,NA
2019-11-15,1,1000,0,company.com/events/info-taster-session-events/,NA
2019-09-04,1,1220,1,company.com/courses/professional-software-development/,NA
2019-10-01,1,1008,1,company.com/courses/professional-software-development/,NA
2020-01-08,1,752,1,company.com/,NA
2019-10-07,1,1508,1,company.com/events/,NA
2020-02-25,1,1256,2,company.com/courses/professional-software-development/,NA
2020-02-04,1,933,0,company.com/events/info-taster-session-events/,NA
2020-01-14,1,780,1,company.com/,NA
2019-12-16,1,888,0,company.com/events/info-taster-session-events/,NA
2020-01-21,1,609,0,company.com/events/info-taster-session-events/,NA
2020-02-24,1,206,3,company.com/courses/data-analysis/apply/,NA
2019-10-30,1,166,0,company.com/events/edinburgh/,NA
2020-02-25,1,214,2,company.com/courses/professional-software-development/,NA
2019-10-21,1,94,1,company.com/edinburgh/,NA
2019-09-09,1,1482,1,company.com/enquire/,NA
2020-01-31,1,1189,2,company.com/courses/full-stack-web-development/,NA
2019-09-14,1,1476,1,company.com/data-analysis-announcement/apply-for-data-analysis/data_analysis_application_2,NA
2019-09-04,1,1290,0,company.com/events/info-taster-session-events/,NA
2019-09-17,1,1204,1,company.com/courses/professional-software-development/,NA
2019-11-27,1,1221,1,company.com/courses/professional-software-development/,NA
2019-09-12,1,188,1,company.com/events/,10
2020-01-13,1,1455,1,company.com/data-analysis-announcement/,10
2020-02-25,1,1628,3,company.com/courses/full-stack-web-development/cost-and-funding/,10
2020-02-23,1,994,3,company.com/events/partner-events/,10
2019-11-17,1,1518,2,company.com/,NA
2020-01-13,1,774,0,company.com/events/info-taster-session-events/,NA
2019-09-16,1,190,1,company.com/events/,NA
2019-10-24,1,303,1,company.com/glasgow/,NA
2020-01-01,1,1148,1,company.com/courses/professional-software-development/,NA
2020-02-01,1,1500,1,company.com/events/,NA
2020-01-30,1,631,0,company.com/events/info-taster-session-events/,NA
2020-01-31,1,1189,0,company.com/events/info-taster-session-events/,NA
2020-01-05,1,1644,0,company.com/events/info-taster-session-events/,NA
2019-12-21,1,531,0,company.com/events/info-taster-session-events/,NA
2019-10-01,1,1443,2,company.com/events/info-taster-session-events/,10
2020-02-03,1,915,3,company.com/data-analysis-announcement/,10
2019-10-09,1,204,2,company.com/courses/understanding-programming/,NA
2019-10-10,1,1512,1,company.com/events/,NA
2019-09-29,1,150,1,company.com/events/,10
2019-12-09,1,1100,1,company.com/courses/professional-software-development/,10
2020-02-04,1,933,1,company.com/,NA
2019-12-10,1,1227,2,company.com/courses/professional-software-development/thank-you-syllabus-download/,NA
2019-12-28,1,1265,2,company.com/courses/professional-software-development/,NA
2020-01-29,1,1281,0,company.com/events/info-taster-session-events/,10
2019-12-03,1,512,0,company.com/events/info-taster-session-events/,10
2020-02-23,1,994,2,company.com/courses/understanding-programming/,10
2019-11-19,1,988,1,company.com/courses/glasgow/,NA
2020-02-03,1,1150,3,company.com/courses/professional-software-development/curriculum/,NA
2020-01-26,1,802,1,company.com/,NA
2019-10-28,1,305,0,company.com/events/glasgow/,NA
2019-10-01,1,1398,1,company.com/data-analysis-announcement/,NA
2020-01-17,1,897,0,company.com/events/info-taster-session-events/,NA
2019-09-09,1,1482,1,company.com/digital-careers/,NA
2020-02-25,1,1628,1,company.com/the-codeclan-experience/the-alumni/,NA
2019-09-02,1,405,0,company.com/events/info-taster-session-events/,NA
2019-09-02,1,1288,3,company.com/courses/,NA
2019-09-21,1,289,0,company.com/events/glasgow/,NA
2020-01-13,1,1455,1,company.com/data-analysis-announcement/,NA
2019-12-16,1,1350,2,company.com/,NA
2020-01-14,1,1213,1,company.com/courses/professional-software-development/,NA
2019-09-16,1,1294,1,company.com/courses/python-for-developers/,NA
2019-10-09,1,1606,2,company.com/events/partner-events/,NA
2020-01-26,1,1030,1,company.com/courses/professional-software-development/,NA
2020-01-10,1,1066,2,company.com/courses/full-stack-web-development/cost-and-funding/,NA
2019-09-27,1,1134,2,company.com/courses/,NA
2019-10-14,1,45,1,company.com/courses/professional-software-development/,NA
2019-09-15,1,1262,1,company.com/courses/professional-software-development/cost-and-funding/,NA
2019-10-24,1,200,0,company.com/events/edinburgh/,10
2019-11-11,1,182,0,company.com/events/edinburgh/,10
2019-11-01,1,168,2,company.com/,10
2019-10-07,1,86,2,company.com/courses/edinburgh/,NA
2020-01-13,1,1455,2,company.com/events/info-taster-session-events/,NA
2019-09-02,1,1534,1,company.com/events/,NA
2019-09-29,1,295,0,company.com/events/glasgow/,NA
2019-09-18,1,393,0,company.com/events/glasgow/,NA
2019-10-02,1,273,1,company.com/events/,NA
2020-02-07,1,843,0,company.com/events/info-taster-session-events/,NA
2020-01-20,1,962,0,company.com/events/info-taster-session-events/,NA
2020-02-05,1,136,3,company.com/courses/professional-software-development/thank-you-syllabus-download/,NA
2019-11-27,1,1221,2,company.com/courses/professional-software-development/cost-and-funding/,NA
2019-09-08,1,1526,1,company.com/events/,NA
2020-02-09,1,954,2,company.com/blog/new-career-in-tech-autumn/,NA
2019-09-04,1,1290,2,company.com/courses/,NA
2019-12-17,1,873,0,company.com/events/info-taster-session-events/,NA
2019-10-05,1,706,1,company.com/,NA
2019-12-14,1,1656,0,company.com/events/info-taster-session-events/,NA
2019-09-10,1,1414,3,company.com/courses/professional-software-development/,NA
2019-10-12,1,160,2,company.com/,NA
2020-01-14,1,876,2,company.com/,NA
2019-11-06,1,1541,0,company.com/events/info-taster-session-events/,NA
2020-02-04,1,70,0,company.com/events/edinburgh/,NA
2019-09-05,1,1260,2,company.com/courses/professional-software-development/,NA
2019-10-03,1,1186,2,company.com/courses/professional-software-development/apply/,NA
2019-11-26,1,1519,2,company.com/,NA
2019-10-29,1,379,0,company.com/events/glasgow/,NA
2019-09-24,1,1458,1,company.com/Edinburgh/,NA
2019-12-30,1,1241,0,company.com/events/info-taster-session-events/,NA
2019-11-17,1,1540,3,company.com/,10
2019-09-18,1,1426,0,company.com/events/info-taster-session-events/,10
2020-02-24,1,980,3,company.com/courses/data-analysis/apply/,10
2019-09-05,1,940,2,company.com/about-us/our-team/,10
2020-02-11,1,663,0,company.com/events/other-events/,10
2019-09-25,1,1310,0,company.com/events/info-taster-session-events/,10
