exitPagePath,exitRate,exits
/blog/what-is-javascript-and-why-learn-it/,34.91379310344828,12
/events/info-taster-session-events/?fbclid=IwAR3OD6ZGbsc3s7nOBFtLWJafQxNZwenBUQOKD9PTJT-NwtTPBl0pbZeS1YI,100,1
/black-friday-lottery/?fbclid=IwAR0eSvGudNRvAEYK8MsCF0bE-cbkOqZHUGCF-SFNmD2SjpLinzq_nuNifFM,100,1
/blog/graduate-milestone-diversity/?mc_cid=387296b2e8&mc_eid=db857d121d,100,17
/events/info-taster-session-events/?mc_cid=07d0302f17&mc_eid=4177f8c366,50,1
/blog/2018/11/27/,100,1
/blog/meet-codeclans-first-highlands-partners/?fbclid=IwAR2-qOO8FFVHi2bW2-40KosoKwxSKRPePfOjozZYTVpmJVBeoN8UCkIaEVI,100,1
/courses/understanding-software-development/?fbclid=IwAR3P5MaHd6-Cjzs-eZWqQ0PZwlmCfFIiKY60gXu7_LHat6gUb7Riol6h1XY,100,1
/?page_id=14026,100,1
/blog/codeclan-students-meet-employers-at-speed-networking-event/,50,19
/blog/tag/seemis/,100,1
/events/other-events/?fbclid=IwAR0QycG04BUIld-2iax2rR5lXVG-pUUotGrubwMAsbhQJZB70cngxNceyq4,100,1
/blog/built-after-five-weeks-learning-code/,23.937007874015748,12
/courses/understanding-software-development/?preview_id=23967&preview_nonce=021725ba0a&preview=true,4.545454545454546,1
/blog/2019/11/08/,100,1
/blog/2019/01/22/,100,1
/blog/codeclan-ceo-melinda-matthews/,67.14801444043322,186
/courses/ux-design-fundamentals/?mc_cid=acc2976657&mc_eid=9bee8b96b2,100,1
/blog/meet-codeclans-first-highlands-partners/?fbclid=IwAR3Fn4NC0pal66zSVcT-G87ZZkd4eXij9-EbsX6go1eC9xVKuZ_9Wy6OxDg,100,1
/data-analysis-announcement/?fbclid=IwAR0-m6UefXYC16CcozkeTT07Ljn9LDTpkhpuieUy7PuzluaP5_DJnl_6JFo,100,1
/data-analysis-announcement/?fbclid=IwAR3-HGWMfwiy5qZ6yQm3HosKn2b1xPumZ6BIoSStLxfT8Iyk35xmbdV53ik,100,1
/black-friday-lottery/?mc_cid=5441c8a4f7&mc_eid=8dd075d3ef,100,1
/blog/2018/11/29/,100,1
/data-analysis-announcement/?fbclid=IwAR2O0GYsXpNsUdus_FLxPsReZLVTxFYkf6MtUVJvgNhbZSSI879eQgUgIio,100,1
/courses/ux-advanced/,33.33333333333333,349
/courses/ux-advanced/?mc_cid=acc2976657&mc_eid=53f749444a,100,1
/courses/temp-bespoke-courses-2/,7.228915662650602,1
/courses/short-courses/?fbclid=IwAR0HzPlaOqnteeHDCyvLedbGRgzUOkMbVkpc05vXEuvW8S-ip_0v4fVySb8,100,1
/data-analysis-announcement/?li_fat_id=d2d34624-6e74-477a-a31e-e5aaa0e07a7d,100,1
/courses/edaid-apply/psd/,31.858407079646017,18
/data-analysis-announcement/?fbclid=IwAR1fOStIYSwz_iIQog5F90VC5hEKve6BS-JX2OkvNgdOpYzg1ixZOIyLemk,100,1
/blog/codeclan-data-analysis-course-diary-001/?fbclid=IwAR09UzZkDrR-x_8aqq3CVS8GzUxP5w6vA3Nn4PlI4DIjaT0LgBeU_hxhlIo,100,1
/courses/short-courses/?mc_cid=aab1876c7f&mc_eid=d98fc25a3e,100,1
/blog/tag/tech-gender-gap/,40,2
/blog/best-podcasts-coders-programmers/?fbclid=IwAR1Y0YVCmaCPDPaoVVsc_esTya3TuIMAgvVe17-BPDwASKu3NzcaImaNuUw,100,1
/blog/say-hello-to-edinburgh-cohort-34/,25,1
/courses/agile-for-effective-teams/?mc_cid=acc2976657&mc_eid=1fed1463e7,100,1
/blog/2018/03/06/,100,1
/courses/temp-bespoke-courses-2/?preview_id=22592&preview_nonce=71b1531dbd&preview=true,100,1
/blog/claires-ruby-project-cycle-ride-logging-application/,33.33333333333333,7
/data-analysis-announcement/?fbclid=IwAR2O0GYsXpNsUdus_FLxPsReZLVTxFYkf6MtUVJvgNhbZSSI879eQgUgIio,100,1
/blog/2019/04/07/,100,1
/events/info-taster-session-events/?fbclid=IwAR3t_mGolNqrFOAUcWKZrhgo3YmEvApODiXCSXyiEV5xLA3fMmyatCdcOgw,17.032967032967033,1
/data-analysis-announcement/?li_fat_id=7d6bdab2-ac99-4072-912a-5d9d887b6dd1,100,1
/data-analysis-announcement/?li_fat_id=a6dfeb36-cc16-40c8-ae50-5589339e30bf,100,1
/data-analysis-announcement/?fbclid=IwAR0m6aCsHQORGjq8OvGQfa-mR12clhzikimZ884idd9u_oS099j1VgZxAUQ,100,1
/data-analysis-announcement/?li_fat_id=c9871038-ceb1-4e94-b302-927f962ff6c2,100,1
/laptop-competition-tcs/?fbclid=IwAR3wv-UiA4yGui8iUQjXxHyYi9uFOyDS2rB-ENmcBxH5lDYV6kLF4fJsFjE,100,1
/?fbclid=IwAR0vKb9J8-BtNXRGhWAlQ0WE2WJrSaL1WsfsKG6AR-t8RWSQhZ6iPvP5zHU,100,1
/courses/?mc_cid=bdf4fbbe4b&mc_eid=bb4f1f0a7f,100,1
/data-analysis-announcement/codeclan.com/data-analysis-announcement/apply-for-data-analysis/,20.833333333333336,5
/data-analysis-announcement/?fbclid=IwAR3mjVWbpntzr6skZ49Ln5vukkKW7SnSCQgq60j64emyeRf-HBgog2Nekpw,100,1
/blog/tag/august/,100,1
/courses/full-stack-web-development/cost-and-funding/?fbclid=IwAR2lW3hL2UG17YABXV3KEoEcoW0CCDTf14kSetDpCvQvrY5eeYeoMv40WNg,100,1
/blog/author/codeclan/page/3/,100,1
/laptop-competition-tcs/?fbclid=IwAR2fFkDPsvuY4NsaFkwpA1cczeOnyvl5ndZWvl_Jda0_WU4sVnqp_y_X_qY,100,1
/courses/full-stack-web-development/?fbclid=IwAR2da5DcRdEJU_clWQ5SEAOYlfmd71d9wLl_z4kFRticb11xEdCP_5k05CI,33.33333333333333,1
/courses/data-analysis/?fbclid=IwAR1qYk5g7zH3ayowhCasvZwJD2MFXFXNeCP4QD_ZJ61dQJyn4darN3g_Jz4,100,1
/blog/meet-the-team-niall-morris/?fbclid=IwAR2Hs-gSz_JqlL0LMZRf8LIluF4o4SQAsoW8SNh6iNN_yZaGNSIxqpXfOr0,100,1
/data-analysis-announcement/?fbclid=IwAR12EVLaXK8Hp-miNM-7Ka9c4lqciCTfjgYo81a_KI80mtYjvIT7Uj9Z8mM,100,1
/blog/meet-the-team-niall-morris/?fbclid=IwAR1l_DXNq92FPaRPPmCGQuvfKASIvib0NycsLEDkoYz3hmGug3VlUzi1m7A,100,1
/courses/full-stack-web-development/?fbclid=IwAR0Ix8aDQ7F4aIPoxijGaR23C9kQsTs8dk_qnpvdlF0u6R9nQf6tKNtuvuI,100,1
/blog/2019/05/22/,100,1
/?fbclid=IwAR2BWL7BUGiVR4Hwje0weSqvnPRiAVKILKjsj0Vh8MQFDPJEDHeKNCQxXdk,100,1
/blog/tag/github/,100,1
/?mc_cid=5d0201ce3f&mc_eid=5f2e658b55,100,1
/data-analysis-announcement/?li_fat_id=654be017-cf32-4848-9496-a8b564137203,100,1
/blog/codeclan-celebrates-turning-four-after-graduation-milestone/?fbclid=IwAR0t3TV93RRQ5HoHmMZHyIipXTfYrBJ15_Q5FzE_ccJa4JW4W2Y-QIgMrlA,100,1
/blog/author/laura-sutherland/,100,1
/events/info-taster-session-events/?fbclid=IwAR0TXJKx9uPWnvwJt8CYL35w0xaScWALdhTfTgAmGtYf5ArACu_Yz-wOMRU,100,1
/data-analysis-announcement/?mc_cid=5d0201ce3f&mc_eid=b1f7fd7fe0,33.33333333333333,2
/courses/edaid-apply/fswd/,27.77777777777778,5
/courses/full-stack-web-development/?fbclid=IwAR39-Sk70NiDxFdxmN10ScWo8fvbt9c7pjXeouOh_DM6qPMYsXQNzNNAXOE,100,1
/courses/professional-software-development/?fbclid=IwAR3OuMLThnr7FHosEDXf8S0xFxUd4t89Mo4OZKFlTql7exGXN3Pv04zQrp0,100,1
/blog/towards-a-diverse-tech-industry-meet-vicky-junior-software-developer/,12.658227848101266,6
/blog/tag/scottish-financial-services-awards/,100,1
/blog/new-funding-opens-up-careers-in-coding/?fbclid=IwAR0r-0PMmxOzJ-WlvBTmZS4Dcu1mdZkmJZNaDE7MeEP9Kk6ONdFVhoiYvHU,100,1
/blog/melindas-memo-october-2019/,23.52941176470588,19
/courses/python-for-developers/?mc_cid=acc2976657&mc_eid=046a1102ab,100,1
/blog/codeclan-data-analysis-course-diary-001/?fbclid=IwAR1J13XUcv8C2DvVm_Lnx0-4cuGoes1w8sMCpjj-9LRR_vkbsJ_a4-H1T6M,100,1
/blog/tag/women-in-tech/,100,1
/courses/professional-software-development/?fbclid=IwAR1nbpAsscRGkjvg-1nC4BlgDi68TFjFQez8jDDcprfOgXHMHKZCnP5g538,100,1
/about-us/vision-and-mission/?fbclid=IwAR1DL_H4BTlQBlleJxSGwe28TTp1T68IL_m2NIPHhVMDXzZnmkKt-QP7R0o,100,1
/blog/national-coding-week-2018/,80,44
/data-analysis-announcement/data-course-application-process/?elementor-preview=16717&ver=1569760682,50,1
/black-friday-lottery/?fbclid=IwAR0ZvNaYymYHC3gWxrpMSvjWL0DkPhZ3fUVwd5TBLlzxzrbkUjpyFmeAXvw,100,1
/blog/speed-networking-debunked-what-you-need-to-know/?fbclid=IwAR3lWVJbyVrA6ABvC4bCMdRG02DYUJX6Y4LoNkSOADm9vQe3AmNGmaMINsg,100,1
/data-analysis-announcement/?fbclid=IwAR0kAFP3ieaC4TMwwto04Ti9ncm1aqCvYrPYmXa9iJJeg2FSFs1spNc780w,100,1
/data-analysis-announcement/?fbclid=IwAR0EPAi7kTtKgZ5Bh2c1ZXFqLiMgvfbYKRiqSNFB4X_-WU31JCDU8KdLbZ0,100,1
/courses/agile-for-effective-teams/?fbclid=IwAR3MOVmjD-CtIq8ByfLFCg0mFsf-jOAhHfN_d7kK3tkER8qOXQJi6AMC-b0,100,1
/?fbclid=IwAR3xNGsR1gAwgJfUQAx6Dt63fOCcWWdfeULJ7rSq7F-2O_AWvsNDXyIMHxk,100,1
/data-analysis-announcement/?li_fat_id=7fe5898b-7d51-4928-a691-3893a03684ff,33.33333333333333,1
/courses/full-stack-web-development/?fbclid=IwAR0mAiScHlod_DMbCtyp6TMEP5c-Hx5cKFLlbDLtO4sIlG1JTnB5FPw5srY,100,1
/about-us/become-an-instructor/?fbclid=IwAR1UQwNid9bbIIAtgaw_9Xi7l-_zQvREyKkCgqy4pWr0cU-7ySlF_gKxPlo,100,1
/blog/tag/john-swinney/,100,1
/blog/tag/university-of-the-highlands-and-islands/,100,1
/courses/full-stack-web-development/?fbclid=IwAR2Znu2WshX82Lmdn_WqYWSG9bPJoMLrNAD0zvjaSjhL56i6HL9LE0ImwEI,100,1
/data-analysis-announcement/?fbclid=IwAR2rhJCgq-KYjA0fA6zbfditEYDhFpdvcp_U7qE0rMLNlX6NOuOMhr7AkMU,100,1
/courses/full-stack-web-development/?fbclid=IwAR3KfMFxC7wM0LYcr2wRQSkkZmT3fxfb6XZD11WglTk4vWNtPY33bPQevww,100,1
/community/,10,2
/data-analysis-announcement/?li_fat_id=1612aef0-ea9a-4860-9cd4-51d6d8e972b7,100,1
/data-analysis-announcement/?fbclid=IwAR2LsPfoYGux_mZlxfLq6GPuRzJlycKPaz0BucuyXu8rvP4f9wJsau0u2zU,33.33333333333333,1
/courses/visualisation-r/,34.285714285714285,81
/for-employers/community-outreach/,25.402504472271914,58
/courses/?mc_cid=acc2976657&mc_eid=63d26d793b,100,1
/courses/full-stack-web-development/cost-and-funding/?fbclid=IwAR2LZc-vD4daveZqbbpujvlvOdrwtq314Xh6x-7zaomFB-ecNajESPK8RcM,100,1
/blog/codeclan-data-analysis-course-diary-001/?fbclid=IwAR29tJrUMNslrYzQU4ZagavVCIPMXyBrItBPtO27eSuiBlhIZJacy24OWIo,100,1
/blog/2019/03/06/,100,1
/courses/python-for-developers/?mc_cid=acc2976657&mc_eid=1fd8053255,100,1
/courses/agile-for-effective-teams/?mc_cid=5d0201ce3f&mc_eid=e794442a24,100,1
/events/info-taster-session-events/?fbclid=IwAR1oRbkl76znmgnI6_eYnLygbJEZunGJr9CFsVWSPVdJNyby6d5vYaZo5y4,100,1
/courses/ux-design-fundamentals/?fbclid=IwAR1jqnDJMmn8gLvHdkrxBTCBXhS72BYdaFxuVwCEg_Mc2pF6u7xLCnCCCs0,100,1
/blog/tag/parent/,100,1
/data-analysis-announcement/?fbclid=IwAR1ffKgF60pL9XnEQnpFvjw9Ziz4Cilczfep54bSI9hQBDI73aZhvwt1850,100,1
/courses/professional-software-development/?fbclid=IwAR1lqbrWeTlnFAtvsBC9fsjsmg4v-QgbkVdW9NBSzq7FvD33QfOWDalcpnU,100,1
/courses/?mc_cid=bdf4fbbe4b&mc_eid=3976e419d5,100,1
/data-analysis-announcement/?fbclid=IwAR1B6lPy8K4vCYmzTSwZX8Ct2goSsfhGzmIB5AE8aKCrBg0TMRPR_n5-MCg,66.66666666666666,2
/store/powerbank/,100,1
/courses/full-stack-web-development/?mc_cid=5d0201ce3f&mc_eid=6c73d4f05e,100,1
/?fbclid=IwAR0pOqh7gFXuOGM6QpOgNc1nvcJ2_oQ4V_PLtOcBtxevgCrnHhH9jgSLdac,100,1
/for-employers/access-candidate-profiles/candidates/,100,1
/blog/speed-networking-debunked-what-you-need-to-know/?fbclid=IwAR3emXwMJ0V8sE-fY2574i8DDbPWFJmKjGENB5b9iHe6QnD06AXg3XTjD7E,100,1
/digital-careers/?fbclid=IwAR13uSfNRTBDiKbQgb8pzEheQb4wbUttIxX497b0NykHTqfAJzvMFIo3BnU,100,1
/courses/understanding-programming/?mc_cid=bdf4fbbe4b&mc_eid=8086903167,100,1
/blog/codeclan-data-analysis-course-diary-001/?fbclid=IwAR02u6_TbgLXmjG49EuXlalSELZMBIriUXeao-aZWH9Qpy6jThWqtuWkHGY,50,1
/?mc_cid=acc2976657&mc_eid=a47fad0332,100,1
/blog/why-learn-coding/coding-guide-download/,35.68610258658483,20
/blog/whats-on-at-codeclan-this-april/,100,3
/?fbclid=IwAR1-Wg1WIpSsYqUYgATH_AEF-VWSMQ4EYYcFaEU8kYto0sDsWLnmiVj9RW8,100,1
/?fbclid=IwAR0T5nEBXNJcD3ORhX752JQOBgWICn65aD5Jmbr0zOs7oDoEbk4fz-Mih60,100,1
/courses/full-stack-web-development/?fbclid=IwAR3KfMFxC7wM0LYcr2wRQSkkZmT3fxfb6XZD11WglTk4vWNtPY33bPQevww,100,1
/blog/2017/03/17/,100,1
/blog/top-networking-events-scotland/,61.111111111111114,44
