exit_page_path,exits,visits
/data-analysis-announcement/codeclan.com/data-analysis-announcement/apply-for-data-analysis/,1,2
/blog/page/24/,1,4
/courses/16-week-course/apply/,6,2
/courses/full-stack-web-development/?mc_cid=5d0201ce3f&mc_eid=7584cdd511,1,1
/courses/professional-software-development/alasdairs-career-change/,2,4
/blog/melindas-memo-august-2019/,1,8
/courses/short-courses/?fbclid=IwAR2mUrKjltY1ufJOl_HsNXLaPGpg0JvRdVinHz20hYwfSAj5CkAEcNWpWuM,1,1
/pre-course-work/,3,8
/courses/understanding-software-development/?mc_cid=acc2976657&mc_eid=3c63f368a8,1,1
/data-analysis-announcement/?fbclid=IwAR2uYzrquoCNGDbBmM02EDmxqrFV5qQw105JVioVlHpNW9FLazTYOJj9RWM,1,1
/blog/meet-our-graduates-daniel-at-dog/,2,1
/blog/page/12/,1,30
/blog/2017/12/19/,1,1
/blog/author/killian/page/3/,1,1
/?_hsenc=p2ANqtz--LZCZcse-RES_w0NpirFqg2OrkxUMMLdqg7kW32IR089y9IOuG3wMHeAM_mDFCBpTCpbigvPflPsSERlRuTfCOgVJCtA&_hsmi=79278797,1,1
/data-analysis-announcement/?fbclid=IwAR1k6JxArCyt4d-gsN1g_Bzsyrux5EwewCZyvouMs0Wm3AcSP6X792Q3bnY,1,1
/courses/professional-software-development/,1738,2
/courses/professional-software-development/student-projects/,1,10
/courses/professional-software-development/?fbclid=IwAR3jWKEbTNyhSFiJwxoTatTdlA_fTMi6FfecjKtaHGMiRYWsmHqmgkYhrXk,1,1
/blog/current-skills-perfect-coding/,1,5
/courses/understanding-software-development/,1,20
/funding/,1,6
/data-analysis-announcement/data-course-application-process/,71,1
/?fbclid=IwAR07pxQzLbknCf6spN8noHeAPS1b9rD5z2rTbZb5Rd_-bHJOWgQ3OVlptxU,1,1
/about-us/our-team/our-board/,11,7
/data-analysis-announcement/?li_fat_id=d20a9b86-5484-4137-9313-90622ea45fdc,1,1
/?fbclid=IwAR3Es2PwIq-b0LjfsNLGvZXPTAfVOEuOHBNPwl-PsoGxGRjwd_D6h8pnxXg,1,1
/digital-careers/ux-consultant/,2,7
/about-us/become-a-data-instructor/,2,7
/courses/r-programming/?fbclid=IwAR3wJPdsD-k6c1i1ktXl4XlC5WmkKTwzH9oLdeiz68DWizSbfUU3l85Glms,1,1
/data-analysis-announcement/?fbclid=IwAR1Q5UdvJ97nbIPjjrIfUUtFhS-2523Xg1HELVHASmb0bWUn_f1fMNOpL_c,1,1
/blog/7-reasons-to-study-data-analysis-at-codeclan/,6,1
/ourbrand/,1,10
/courses/short-courses/?mc_cid=aab1876c7f&mc_eid=9829e50352,1,1
/courses/understanding-software-development/,1,21
/blog/category/inspiring-stories/page/3/,1,12
/edinburgh/,4,11
/blog/towards-a-diverse-tech-industry-meet-vicky-junior-software-developer/,1,3
/digital-careers/test-engineer/,1,9
/data-analysis-announcement/,183,6
/blog/meet-ally-software-development-instructor-at-codeclan/,1,7
/data-analysis-announcement/?fbclid=IwAR1Vuj6uODNyeUBoKoZxhlRCAYRfrOQX3Urj4QeOtcFNNURVLEfcVrXIZws,1,1
/blog/scotland-demand-for-developers-growing/,2,1
/blog/newsdirect-client-xperience-interview/,4,2
/courses/full-stack-web-development/apply-inverness/course_application_hie_2,3,9
/blog/tag/yellow-cherry-digital/,1,1
/blog/peter-support-engineer-freeagent/,1,1
/codeclan-store/order-complete/,1,3
/black-friday-lottery/terms-and-conditions/,1,7
/blog/2019/11/08/,1,1
/store/zipped-hoodie/,4,4
/courses/professional-software-development/apply/,1,46
/courses/full-stack-web-development/cost-and-funding/,85,2
/courses/full-stack-web-development/?fbclid=IwAR1fwNDZYvGtGEs2RBytNaEXJqbBv8Kdg5n4oXF0M8hLihiVh0FbJhYMFJk,1,2
/events/info-taster-session-events/?fbclid=IwAR3Xewje76lv3iMeR2LGxFganYqm1-xPL4DKBS3FK4SJeAQ1FtGav361cOk,1,1
/for-employers/sponsorships/,6,6
/?s=Bootstrap,1,9
/about-us/our-team/,116,3
/wp-content/uploads/2019/10/Browse-Courses-04-1024x1024.png,1,1
/digital-careers/ux-consultant/,2,4
